Nom de la gare;Nom de la gare;Code UIC;Code postal;Segmentation DRG;Total Voyageurs 2022;Total Voyageurs + Non voyageurs 2022;Total Voyageurs 2021;Total Voyageurs + Non voyageurs 2021;Total Voyageurs 2020;Total Voyageurs + Non voyageurs 2020;Total Voyageurs 2019;Total Voyageurs + Non voyageurs 2019;Total Voyageurs 2018;Total Voyageurs + Non voyageurs 2018;Total Voyageurs 2017;Total Voyageurs + Non voyageurs 2017;Total Voyageurs 2016;Total Voyageurs + Non voyageurs 2016;Total Voyageurs 2015;Total Voyageurs + Non voyageurs 2015;Code Postal
Clermont-en-Argonne;Igny;87393561;91430;B;375513;375513;231674;231674;175992;175992;454785;454785;462240;462240;474176;474176;475809;475809;475777;475777;91
Cloyes-sur-le-Loir;Invalides;87393033;75007;B;9172483;9172483;4931817;4931817;4118025;4118025;11104701;11104701;11541909;11541909;11941725;11941725;12138735;12138735;12310511;12310511;75
Cluses;Issy-les-Moulineaux;87393074;92130;B;2023087;2023087;1635243;1635243;1030188;1030188;2449700;2449700;2477283;2477283;2511813;2511813;2500733;2500733;2476163;2476163;92
Coarraze - Nay;Javel;87393066;75015;B;2962430;2962430;2372151;2372151;1839261;1839261;3586477;3586477;3621602;3621602;3667671;3667671;3643685;3643685;3602308;3602308;75
Coignières;La Celle-Saint-Cloud;87382432;78170;B;2183744;2183744;1923942;1923942;761361;761361;2090228;2090228;2080360;2080360;2077227;2077227;2036429;2036429;2006487;2006487;78
Commentry;La Ferté-Alais;87681452;91590;B;324970;324970;330418;330418;188972;188972;393534;393534;420283;420283;451160;451160;474134;474134;496233;496233;91
Conflans - Jarny;La Norville - Saint-Germain-lès-Arpajon;87545459;91290;B;515437;515437;387213;387213;264282;264282;624015;624015;627405;627405;636395;636395;631898;631898;624240;624240;91
Contrexéville;La Plaine Stade de France - Saint-Denis - Aubervilliers;87164798;93200;B;13005557;13005557;9777230;9777230;6700974;6700974;15759876;15759876;15486341;15486341;15307926;15307926;14819294;14819294;14298405;14298405;93
Corbie;La Verrière;87393256;78320;B;3416383;3416383;1913278;1913278;1785924;1785924;4138664;4138664;4420623;4420623;4756541;4756541;5019988;5019988;5270556;5270556;78
Cordemais;Le Bourget;87271395;93350;B;18333290;18333290;16873408;16873408;10732512;10732512;17945579;17945579;17369533;17369533;15532109;15532109;13441953;13441953;12609210;12609210;93
